epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1568490716224,2019-09-14T15:51:56.224,0.000,0.262,0.917,0.143
1568490716234,2019-09-14T15:51:56.234,0.010,0.273,0.923,0.146
1568490716244,2019-09-14T15:51:56.244,0.020,0.287,0.934,0.145
1568490716254,2019-09-14T15:51:56.254,0.030,0.292,0.939,0.141
1568490716264,2019-09-14T15:51:56.264,0.040,0.287,0.927,0.139
1568490716274,2019-09-14T15:51:56.274,0.050,0.272,0.910,0.137
1568490716284,2019-09-14T15:51:56.284,0.060,0.269,0.900,0.135
1568490716294,2019-09-14T15:51:56.294,0.070,0.260,0.904,0.129
1568490716304,2019-09-14T15:51:56.304,0.080,0.249,0.896,0.127
1568490716314,2019-09-14T15:51:56.314,0.090,0.236,0.888,0.123
1568490716324,2019-09-14T15:51:56.324,0.100,0.219,0.898,0.109
1568490716334,2019-09-14T15:51:56.334,0.110,0.196,0.929,0.095
1568490716344,2019-09-14T15:51:56.344,0.120,0.188,0.962,0.083
1568490716354,2019-09-14T15:51:56.354,0.130,0.184,0.976,0.070
1568490716364,2019-09-14T15:51:56.364,0.140,0.172,0.976,0.060
1568490716374,2019-09-14T15:51:56.374,0.150,0.165,0.978,0.044
1568490716384,2019-09-14T15:51:56.384,0.160,0.161,0.983,0.028
1568490716394,2019-09-14T15:51:56.394,0.170,0.154,0.981,0.014
1568490716404,2019-09-14T15:51:56.404,0.180,0.150,0.975,-0.000
1568490716414,2019-09-14T15:51:56.414,0.190,0.153,0.969,-0.024
1568490716424,2019-09-14T15:51:56.424,0.200,0.168,0.980,-0.038
1568490716434,2019-09-14T15:51:56.434,0.210,0.178,0.989,-0.054
1568490716444,2019-09-14T15:51:56.444,0.220,0.184,0.984,-0.068
1568490716454,2019-09-14T15:51:56.454,0.230,0.191,0.980,-0.078
1568490716464,2019-09-14T15:51:56.464,0.240,0.201,0.989,-0.088
1568490716474,2019-09-14T15:51:56.474,0.250,0.201,0.997,-0.092
1568490716484,2019-09-14T15:51:56.484,0.260,0.193,0.994,-0.095
1568490716494,2019-09-14T15:51:56.494,0.270,0.190,0.992,-0.101
1568490716504,2019-09-14T15:51:56.504,0.280,0.176,0.996,-0.104
1568490716514,2019-09-14T15:51:56.514,0.290,0.157,1.004,-0.107
1568490716524,2019-09-14T15:51:56.524,0.300,0.146,1.009,-0.113
1568490716534,2019-09-14T15:51:56.534,0.310,0.138,1.014,-0.112
1568490716544,2019-09-14T15:51:56.544,0.320,0.128,1.003,-0.111
1568490716554,2019-09-14T15:51:56.554,0.330,0.114,0.987,-0.112
1568490716564,2019-09-14T15:51:56.564,0.340,0.106,0.971,-0.113
1568490716574,2019-09-14T15:51:56.574,0.350,0.104,0.970,-0.111
1568490716584,2019-09-14T15:51:56.584,0.360,0.100,0.981,-0.113
1568490716594,2019-09-14T15:51:56.594,0.370,0.093,0.985,-0.113
1568490716604,2019-09-14T15:51:56.604,0.380,0.092,0.993,-0.113
1568490716614,2019-09-14T15:51:56.614,0.390,0.096,1.003,-0.110
1568490716624,2019-09-14T15:51:56.624,0.400,0.090,0.990,-0.097
1568490716634,2019-09-14T15:51:56.634,0.410,0.084,0.971,-0.091
1568490716644,2019-09-14T15:51:56.644,0.420,0.081,0.984,-0.091
1568490716654,2019-09-14T15:51:56.654,0.430,0.072,1.007,-0.093
1568490716664,2019-09-14T15:51:56.664,0.440,0.063,0.997,-0.090
1568490716674,2019-09-14T15:51:56.674,0.450,0.054,0.982,-0.085
1568490716684,2019-09-14T15:51:56.684,0.460,0.044,0.988,-0.083
1568490716694,2019-09-14T15:51:56.694,0.470,0.042,0.986,-0.078
1568490716704,2019-09-14T15:51:56.704,0.480,0.045,0.974,-0.078
1568490716714,2019-09-14T15:51:56.714,0.490,0.048,0.978,-0.073
1568490716724,2019-09-14T15:51:56.724,0.500,0.048,0.986,-0.072
1568490716734,2019-09-14T15:51:56.734,0.510,0.049,0.983,-0.074
1568490716744,2019-09-14T15:51:56.744,0.520,0.057,0.975,-0.075
1568490716754,2019-09-14T15:51:56.754,0.530,0.062,0.971,-0.080
1568490716764,2019-09-14T15:51:56.764,0.540,0.067,0.966,-0.077
1568490716774,2019-09-14T15:51:56.774,0.550,0.077,0.957,-0.081
1568490716784,2019-09-14T15:51:56.784,0.560,0.072,0.950,-0.084
1568490716794,2019-09-14T15:51:56.794,0.570,0.071,0.941,-0.087
1568490716804,2019-09-14T15:51:56.804,0.580,0.069,0.934,-0.093
1568490716814,2019-09-14T15:51:56.814,0.590,0.070,0.934,-0.095
1568490716824,2019-09-14T15:51:56.824,0.600,0.079,0.946,-0.099
1568490716834,2019-09-14T15:51:56.834,0.610,0.087,0.957,-0.098
1568490716844,2019-09-14T15:51:56.844,0.620,0.093,0.965,-0.102
1568490716854,2019-09-14T15:51:56.854,0.630,0.094,0.968,-0.102
1568490716864,2019-09-14T15:51:56.864,0.640,0.095,0.980,-0.101
1568490716874,2019-09-14T15:51:56.874,0.650,0.099,0.986,-0.098
1568490716884,2019-09-14T15:51:56.884,0.660,0.095,0.988,-0.091
1568490716894,2019-09-14T15:51:56.894,0.670,0.094,0.994,-0.091
1568490716904,2019-09-14T15:51:56.904,0.680,0.089,0.997,-0.084
1568490716914,2019-09-14T15:51:56.914,0.690,0.094,0.995,-0.074
1568490716924,2019-09-14T15:51:56.924,0.700,0.095,0.995,-0.074
1568490716934,2019-09-14T15:51:56.934,0.710,0.099,0.993,-0.067
1568490716944,2019-09-14T15:51:56.944,0.720,0.103,0.992,-0.066
1568490716954,2019-09-14T15:51:56.954,0.730,0.110,0.997,-0.060
1568490716964,2019-09-14T15:51:56.964,0.740,0.123,1.006,-0.055
1568490716974,2019-09-14T15:51:56.974,0.750,0.130,1.009,-0.052
1568490716984,2019-09-14T15:51:56.984,0.760,0.129,1.006,-0.048
1568490716994,2019-09-14T15:51:56.994,0.770,0.133,1.000,-0.041
1568490717004,2019-09-14T15:51:57.004,0.780,0.135,0.995,-0.035
1568490717014,2019-09-14T15:51:57.014,0.790,0.128,0.983,-0.033
1568490717024,2019-09-14T15:51:57.024,0.800,0.124,0.972,-0.030
1568490717034,2019-09-14T15:51:57.034,0.810,0.126,0.968,-0.034
1568490717044,2019-09-14T15:51:57.044,0.820,0.131,0.970,-0.035
1568490717054,2019-09-14T15:51:57.054,0.830,0.135,0.970,-0.034
1568490717064,2019-09-14T15:51:57.064,0.840,0.136,0.962,-0.038
1568490717074,2019-09-14T15:51:57.074,0.850,0.140,0.959,-0.041
1568490717084,2019-09-14T15:51:57.084,0.860,0.149,0.961,-0.038
1568490717094,2019-09-14T15:51:57.094,0.870,0.157,0.958,-0.036
1568490717104,2019-09-14T15:51:57.104,0.880,0.162,0.961,-0.036
1568490717114,2019-09-14T15:51:57.114,0.890,0.173,0.964,-0.039
1568490717124,2019-09-14T15:51:57.124,0.900,0.173,0.967,-0.037
1568490717134,2019-09-14T15:51:57.134,0.910,0.169,0.964,-0.035
1568490717144,2019-09-14T15:51:57.144,0.920,0.167,0.961,-0.036
1568490717154,2019-09-14T15:51:57.154,0.930,0.164,0.961,-0.035
1568490717164,2019-09-14T15:51:57.164,0.940,0.156,0.954,-0.034
1568490717174,2019-09-14T15:51:57.174,0.950,0.147,0.950,-0.033
1568490717184,2019-09-14T15:51:57.184,0.960,0.148,0.950,-0.033
1568490717194,2019-09-14T15:51:57.194,0.970,0.145,0.948,-0.029
1568490717204,2019-09-14T15:51:57.204,0.980,0.143,0.950,-0.029
1568490717214,2019-09-14T15:51:57.214,0.990,0.133,0.951,-0.027
1568490717224,2019-09-14T15:51:57.224,1.000,0.114,0.954,-0.020
1568490717234,2019-09-14T15:51:57.234,1.010,0.086,0.956,-0.008
1568490717244,2019-09-14T15:51:57.244,1.020,0.051,0.959,0.003
1568490717254,2019-09-14T15:51:57.254,1.030,0.027,0.970,0.014
1568490717264,2019-09-14T15:51:57.264,1.040,0.023,0.986,0.024
1568490717274,2019-09-14T15:51:57.274,1.050,0.030,1.005,0.026
1568490717284,2019-09-14T15:51:57.284,1.060,0.040,1.017,0.024
1568490717294,2019-09-14T15:51:57.294,1.070,0.048,1.012,0.022
1568490717304,2019-09-14T15:51:57.304,1.080,0.042,1.012,0.017
1568490717314,2019-09-14T15:51:57.314,1.090,0.042,1.007,0.011
1568490717324,2019-09-14T15:51:57.324,1.100,0.046,0.998,-0.001
1568490717334,2019-09-14T15:51:57.334,1.110,0.050,1.000,-0.010
1568490717344,2019-09-14T15:51:57.344,1.120,0.068,1.003,-0.016
1568490717354,2019-09-14T15:51:57.354,1.130,0.086,1.006,-0.027
1568490717364,2019-09-14T15:51:57.364,1.140,0.095,1.000,-0.034
1568490717374,2019-09-14T15:51:57.374,1.150,0.109,0.993,-0.041
1568490717384,2019-09-14T15:51:57.384,1.160,0.128,0.982,-0.048
1568490717394,2019-09-14T15:51:57.394,1.170,0.153,0.980,-0.050
1568490717404,2019-09-14T15:51:57.404,1.180,0.172,0.976,-0.056
1568490717414,2019-09-14T15:51:57.414,1.190,0.187,0.965,-0.062
1568490717424,2019-09-14T15:51:57.424,1.200,0.199,0.954,-0.067
1568490717434,2019-09-14T15:51:57.434,1.210,0.209,0.945,-0.068
1568490717444,2019-09-14T15:51:57.444,1.220,0.222,0.944,-0.077
1568490717454,2019-09-14T15:51:57.454,1.230,0.227,0.937,-0.082
1568490717464,2019-09-14T15:51:57.464,1.240,0.227,0.927,-0.083
1568490717474,2019-09-14T15:51:57.474,1.250,0.236,0.931,-0.085
1568490717484,2019-09-14T15:51:57.484,1.260,0.252,0.936,-0.086
1568490717494,2019-09-14T15:51:57.494,1.270,0.265,0.929,-0.084
1568490717504,2019-09-14T15:51:57.504,1.280,0.271,0.923,-0.084
1568490717514,2019-09-14T15:51:57.514,1.290,0.273,0.919,-0.083
1568490717524,2019-09-14T15:51:57.524,1.300,0.284,0.917,-0.077
1568490717534,2019-09-14T15:51:57.534,1.310,0.291,0.917,-0.076
1568490717544,2019-09-14T15:51:57.544,1.320,0.299,0.917,-0.077
1568490717554,2019-09-14T15:51:57.554,1.330,0.303,0.914,-0.073
1568490717564,2019-09-14T15:51:57.564,1.340,0.304,0.917,-0.071
1568490717574,2019-09-14T15:51:57.574,1.350,0.309,0.917,-0.070
1568490717584,2019-09-14T15:51:57.584,1.360,0.306,0.916,-0.063
1568490717594,2019-09-14T15:51:57.594,1.370,0.303,0.916,-0.063
1568490717604,2019-09-14T15:51:57.604,1.380,0.303,0.917,-0.062
1568490717614,2019-09-14T15:51:57.614,1.390,0.299,0.915,-0.057
1568490717624,2019-09-14T15:51:57.624,1.400,0.295,0.917,-0.054
1568490717634,2019-09-14T15:51:57.634,1.410,0.296,0.917,-0.055
1568490717644,2019-09-14T15:51:57.644,1.420,0.299,0.920,-0.053
1568490717654,2019-09-14T15:51:57.654,1.430,0.305,0.928,-0.052
1568490717664,2019-09-14T15:51:57.664,1.440,0.308,0.935,-0.055
1568490717674,2019-09-14T15:51:57.674,1.450,0.312,0.937,-0.056
1568490717684,2019-09-14T15:51:57.684,1.460,0.316,0.940,-0.055
1568490717694,2019-09-14T15:51:57.694,1.470,0.315,0.937,-0.056
1568490717704,2019-09-14T15:51:57.704,1.480,0.319,0.937,-0.061
1568490717714,2019-09-14T15:51:57.714,1.490,0.320,0.935,-0.060
1568490717724,2019-09-14T15:51:57.724,1.500,0.317,0.933,-0.061
1568490717734,2019-09-14T15:51:57.734,1.510,0.310,0.930,-0.059
1568490717744,2019-09-14T15:51:57.744,1.520,0.305,0.926,-0.057
1568490717754,2019-09-14T15:51:57.754,1.530,0.307,0.930,-0.057
1568490717764,2019-09-14T15:51:57.764,1.540,0.310,0.931,-0.053
1568490717774,2019-09-14T15:51:57.774,1.550,0.312,0.931,-0.056
1568490717784,2019-09-14T15:51:57.784,1.560,0.313,0.937,-0.055
1568490717794,2019-09-14T15:51:57.794,1.570,0.318,0.937,-0.056
1568490717804,2019-09-14T15:51:57.804,1.580,0.323,0.939,-0.055
1568490717814,2019-09-14T15:51:57.814,1.590,0.322,0.940,-0.053
1568490717824,2019-09-14T15:51:57.824,1.600,0.323,0.937,-0.054
1568490717834,2019-09-14T15:51:57.834,1.610,0.317,0.930,-0.059
1568490717844,2019-09-14T15:51:57.844,1.620,0.320,0.932,-0.058
1568490717854,2019-09-14T15:51:57.854,1.630,0.319,0.928,-0.058
1568490717864,2019-09-14T15:51:57.864,1.640,0.318,0.925,-0.056
1568490717874,2019-09-14T15:51:57.874,1.650,0.321,0.924,-0.059
1568490717884,2019-09-14T15:51:57.884,1.660,0.324,0.928,-0.057
1568490717894,2019-09-14T15:51:57.894,1.670,0.328,0.932,-0.053
1568490717904,2019-09-14T15:51:57.904,1.680,0.330,0.933,-0.055
1568490717914,2019-09-14T15:51:57.914,1.690,0.326,0.938,-0.055
1568490717924,2019-09-14T15:51:57.924,1.700,0.320,0.943,-0.057
1568490717934,2019-09-14T15:51:57.934,1.710,0.314,0.937,-0.058
1568490717944,2019-09-14T15:51:57.944,1.720,0.314,0.935,-0.055
1568490717954,2019-09-14T15:51:57.954,1.730,0.311,0.938,-0.053
1568490717964,2019-09-14T15:51:57.964,1.740,0.306,0.935,-0.052
1568490717974,2019-09-14T15:51:57.974,1.750,0.309,0.929,-0.053
1568490717984,2019-09-14T15:51:57.984,1.760,0.310,0.929,-0.051
1568490717994,2019-09-14T15:51:57.994,1.770,0.309,0.931,-0.049
1568490718004,2019-09-14T15:51:58.004,1.780,0.310,0.930,-0.047
1568490718014,2019-09-14T15:51:58.014,1.790,0.308,0.927,-0.045
1568490718024,2019-09-14T15:51:58.024,1.800,0.307,0.927,-0.045
1568490718034,2019-09-14T15:51:58.034,1.810,0.312,0.928,-0.045
1568490718044,2019-09-14T15:51:58.044,1.820,0.313,0.929,-0.045
1568490718054,2019-09-14T15:51:58.054,1.830,0.315,0.929,-0.044
1568490718064,2019-09-14T15:51:58.064,1.840,0.316,0.929,-0.045
1568490718074,2019-09-14T15:51:58.074,1.850,0.321,0.930,-0.042
1568490718084,2019-09-14T15:51:58.084,1.860,0.321,0.929,-0.043
1568490718094,2019-09-14T15:51:58.094,1.870,0.316,0.929,-0.045
1568490718104,2019-09-14T15:51:58.104,1.880,0.315,0.929,-0.042
1568490718114,2019-09-14T15:51:58.114,1.890,0.313,0.928,-0.043
1568490718124,2019-09-14T15:51:58.124,1.900,0.311,0.924,-0.042
1568490718134,2019-09-14T15:51:58.134,1.910,0.309,0.925,-0.043
1568490718144,2019-09-14T15:51:58.144,1.920,0.309,0.927,-0.043
1568490718154,2019-09-14T15:51:58.154,1.930,0.308,0.926,-0.039
1568490718164,2019-09-14T15:51:58.164,1.940,0.308,0.925,-0.038
1568490718174,2019-09-14T15:51:58.174,1.950,0.308,0.922,-0.040
1568490718184,2019-09-14T15:51:58.184,1.960,0.309,0.926,-0.038
1568490718194,2019-09-14T15:51:58.194,1.970,0.310,0.925,-0.039
1568490718204,2019-09-14T15:51:58.204,1.980,0.312,0.923,-0.037
1568490718214,2019-09-14T15:51:58.214,1.990,0.312,0.926,-0.037
1568490718224,2019-09-14T15:51:58.224,2.000,0.308,0.924,-0.037
1568490718234,2019-09-14T15:51:58.234,2.010,0.311,0.924,-0.038
1568490718244,2019-09-14T15:51:58.244,2.020,0.310,0.920,-0.039
1568490718254,2019-09-14T15:51:58.254,2.030,0.313,0.923,-0.039
1568490718264,2019-09-14T15:51:58.264,2.040,0.317,0.931,-0.038
1568490718274,2019-09-14T15:51:58.274,2.050,0.318,0.928,-0.040
1568490718284,2019-09-14T15:51:58.284,2.060,0.317,0.927,-0.042
1568490718294,2019-09-14T15:51:58.294,2.070,0.317,0.927,-0.044
1568490718304,2019-09-14T15:51:58.304,2.080,0.314,0.934,-0.045
1568490718314,2019-09-14T15:51:58.314,2.090,0.313,0.933,-0.047
1568490718324,2019-09-14T15:51:58.324,2.100,0.308,0.930,-0.048
1568490718334,2019-09-14T15:51:58.334,2.110,0.309,0.933,-0.051
1568490718344,2019-09-14T15:51:58.344,2.120,0.312,0.933,-0.052
1568490718354,2019-09-14T15:51:58.354,2.130,0.311,0.933,-0.052
1568490718364,2019-09-14T15:51:58.364,2.140,0.309,0.936,-0.050
1568490718374,2019-09-14T15:51:58.374,2.150,0.312,0.936,-0.052
1568490718384,2019-09-14T15:51:58.384,2.160,0.313,0.936,-0.054
1568490718394,2019-09-14T15:51:58.394,2.170,0.313,0.938,-0.055
1568490718404,2019-09-14T15:51:58.404,2.180,0.311,0.937,-0.055
1568490718414,2019-09-14T15:51:58.414,2.190,0.315,0.938,-0.055
1568490718424,2019-09-14T15:51:58.424,2.200,0.318,0.948,-0.053
1568490718434,2019-09-14T15:51:58.434,2.210,0.310,0.945,-0.060
1568490718444,2019-09-14T15:51:58.444,2.220,0.312,0.936,-0.058
1568490718454,2019-09-14T15:51:58.454,2.230,0.315,0.937,-0.056
1568490718464,2019-09-14T15:51:58.464,2.240,0.315,0.940,-0.058
1568490718474,2019-09-14T15:51:58.474,2.250,0.316,0.941,-0.053
1568490718484,2019-09-14T15:51:58.484,2.260,0.310,0.938,-0.053
1568490718494,2019-09-14T15:51:58.494,2.270,0.311,0.926,-0.050
1568490718504,2019-09-14T15:51:58.504,2.280,0.315,0.930,-0.047
1568490718514,2019-09-14T15:51:58.514,2.290,0.317,0.933,-0.044
1568490718524,2019-09-14T15:51:58.524,2.300,0.310,0.920,-0.045
1568490718534,2019-09-14T15:51:58.534,2.310,0.311,0.912,-0.044
1568490718544,2019-09-14T15:51:58.544,2.320,0.312,0.918,-0.042
1568490718554,2019-09-14T15:51:58.554,2.330,0.315,0.922,-0.041
1568490718564,2019-09-14T15:51:58.564,2.340,0.314,0.917,-0.040
1568490718574,2019-09-14T15:51:58.574,2.350,0.317,0.916,-0.035
1568490718584,2019-09-14T15:51:58.584,2.360,0.316,0.909,-0.033
1568490718594,2019-09-14T15:51:58.594,2.370,0.328,0.893,-0.028
1568490718604,2019-09-14T15:51:58.604,2.380,0.336,0.889,-0.028
1568490718614,2019-09-14T15:51:58.614,2.390,0.338,0.880,-0.031
1568490718624,2019-09-14T15:51:58.624,2.400,0.344,0.871,-0.031
1568490718634,2019-09-14T15:51:58.634,2.410,0.347,0.860,-0.032
1568490718644,2019-09-14T15:51:58.644,2.420,0.350,0.849,-0.031
1568490718654,2019-09-14T15:51:58.654,2.430,0.361,0.844,-0.028
1568490718664,2019-09-14T15:51:58.664,2.440,0.373,0.839,-0.025
1568490718674,2019-09-14T15:51:58.674,2.450,0.405,0.829,-0.019
1568490718684,2019-09-14T15:51:58.684,2.460,0.447,0.850,-0.011
1568490718694,2019-09-14T15:51:58.694,2.470,0.482,0.876,-0.012
1568490718704,2019-09-14T15:51:58.704,2.480,0.500,0.874,-0.010
1568490718714,2019-09-14T15:51:58.714,2.490,0.513,0.859,-0.007
1568490718724,2019-09-14T15:51:58.724,2.500,0.524,0.859,-0.003
1568490718734,2019-09-14T15:51:58.734,2.510,0.523,0.859,0.008
1568490718744,2019-09-14T15:51:58.744,2.520,0.515,0.830,0.017
1568490718754,2019-09-14T15:51:58.754,2.530,0.519,0.810,0.027
1568490718764,2019-09-14T15:51:58.764,2.540,0.515,0.817,0.034
1568490718774,2019-09-14T15:51:58.774,2.550,0.507,0.820,0.033
1568490718784,2019-09-14T15:51:58.784,2.560,0.504,0.804,0.033
1568490718794,2019-09-14T15:51:58.794,2.570,0.512,0.818,0.034
1568490718804,2019-09-14T15:51:58.804,2.580,0.516,0.833,0.031
1568490718814,2019-09-14T15:51:58.814,2.590,0.521,0.808,0.035
1568490718824,2019-09-14T15:51:58.824,2.600,0.528,0.796,0.035
1568490718834,2019-09-14T15:51:58.834,2.610,0.537,0.820,0.033
1568490718844,2019-09-14T15:51:58.844,2.620,0.530,0.823,0.032
1568490718854,2019-09-14T15:51:58.854,2.630,0.534,0.815,0.034
1568490718864,2019-09-14T15:51:58.864,2.640,0.521,0.805,0.028
1568490718874,2019-09-14T15:51:58.874,2.650,0.504,0.783,0.021
1568490718884,2019-09-14T15:51:58.884,2.660,0.495,0.761,0.025
1568490718894,2019-09-14T15:51:58.894,2.670,0.488,0.767,0.025
1568490718904,2019-09-14T15:51:58.904,2.680,0.477,0.769,0.021
1568490718914,2019-09-14T15:51:58.914,2.690,0.479,0.768,0.020
1568490718924,2019-09-14T15:51:58.924,2.700,0.470,0.788,0.014
1568490718934,2019-09-14T15:51:58.934,2.710,0.448,0.804,0.005
1568490718944,2019-09-14T15:51:58.944,2.720,0.431,0.799,0.002
1568490718954,2019-09-14T15:51:58.954,2.730,0.417,0.784,-0.000
1568490718964,2019-09-14T15:51:58.964,2.740,0.414,0.791,-0.007
1568490718974,2019-09-14T15:51:58.974,2.750,0.408,0.814,-0.012
1568490718984,2019-09-14T15:51:58.984,2.760,0.391,0.819,-0.017
1568490718994,2019-09-14T15:51:58.994,2.770,0.385,0.823,-0.019
1568490719004,2019-09-14T15:51:59.004,2.780,0.381,0.848,-0.016
1568490719014,2019-09-14T15:51:59.014,2.790,0.363,0.864,-0.022
1568490719024,2019-09-14T15:51:59.024,2.800,0.338,0.870,-0.027
1568490719034,2019-09-14T15:51:59.034,2.810,0.314,0.869,-0.031
1568490719044,2019-09-14T15:51:59.044,2.820,0.306,0.874,-0.032
1568490719054,2019-09-14T15:51:59.054,2.830,0.298,0.881,-0.035
1568490719064,2019-09-14T15:51:59.064,2.840,0.276,0.891,-0.030
1568490719074,2019-09-14T15:51:59.074,2.850,0.237,0.897,-0.030
1568490719084,2019-09-14T15:51:59.084,2.860,0.213,0.896,-0.030
1568490719094,2019-09-14T15:51:59.094,2.870,0.193,0.884,-0.029
1568490719104,2019-09-14T15:51:59.104,2.880,0.178,0.884,-0.027
1568490719114,2019-09-14T15:51:59.114,2.890,0.167,0.893,-0.027
1568490719124,2019-09-14T15:51:59.124,2.900,0.150,0.911,-0.019
1568490719134,2019-09-14T15:51:59.134,2.910,0.113,0.922,-0.010
1568490719144,2019-09-14T15:51:59.144,2.920,0.072,0.910,-0.013
1568490719154,2019-09-14T15:51:59.154,2.930,0.037,0.903,-0.018
1568490719164,2019-09-14T15:51:59.164,2.940,-0.003,0.914,-0.021
1568490719174,2019-09-14T15:51:59.174,2.950,-0.031,0.935,-0.025
1568490719184,2019-09-14T15:51:59.184,2.960,-0.031,0.969,-0.026
1568490719194,2019-09-14T15:51:59.194,2.970,-0.055,0.982,-0.023
1568490719204,2019-09-14T15:51:59.204,2.980,-0.098,0.984,-0.019
1568490719214,2019-09-14T15:51:59.214,2.990,-0.114,1.030,-0.023
1568490719224,2019-09-14T15:51:59.224,3.000,-0.120,1.106,-0.030
1568490719234,2019-09-14T15:51:59.234,3.010,-0.162,1.115,-0.041
1568490719244,2019-09-14T15:51:59.244,3.020,-0.217,1.111,-0.049
1568490719254,2019-09-14T15:51:59.254,3.030,-0.283,1.156,-0.069
1568490719264,2019-09-14T15:51:59.264,3.040,-0.372,1.157,-0.093
1568490719274,2019-09-14T15:51:59.274,3.050,-0.462,1.116,-0.103
1568490719284,2019-09-14T15:51:59.284,3.060,-0.521,1.133,-0.112
1568490719294,2019-09-14T15:51:59.294,3.070,-0.562,1.199,-0.135
1568490719304,2019-09-14T15:51:59.304,3.080,-0.601,1.224,-0.148
1568490719314,2019-09-14T15:51:59.314,3.090,-0.636,1.234,-0.153
1568490719324,2019-09-14T15:51:59.324,3.100,-0.669,1.257,-0.163
1568490719334,2019-09-14T15:51:59.334,3.110,-0.690,1.289,-0.167
1568490719344,2019-09-14T15:51:59.344,3.120,-0.684,1.334,-0.173
1568490719354,2019-09-14T15:51:59.354,3.130,-0.655,1.396,-0.183
1568490719364,2019-09-14T15:51:59.364,3.140,-0.639,1.434,-0.189
1568490719374,2019-09-14T15:51:59.374,3.150,-0.626,1.452,-0.197
1568490719384,2019-09-14T15:51:59.384,3.160,-0.625,1.473,-0.205
1568490719394,2019-09-14T15:51:59.394,3.170,-0.620,1.493,-0.209
1568490719404,2019-09-14T15:51:59.404,3.180,-0.619,1.495,-0.210
1568490719414,2019-09-14T15:51:59.414,3.190,-0.615,1.495,-0.197
1568490719424,2019-09-14T15:51:59.424,3.200,-0.611,1.477,-0.183
1568490719434,2019-09-14T15:51:59.434,3.210,-0.594,1.446,-0.167
1568490719444,2019-09-14T15:51:59.444,3.220,-0.563,1.427,-0.151
1568490719454,2019-09-14T15:51:59.454,3.230,-0.526,1.404,-0.145
1568490719464,2019-09-14T15:51:59.464,3.240,-0.501,1.371,-0.132
1568490719474,2019-09-14T15:51:59.474,3.250,-0.501,1.330,-0.128
1568490719484,2019-09-14T15:51:59.484,3.260,-0.500,1.292,-0.125
1568490719494,2019-09-14T15:51:59.494,3.270,-0.484,1.260,-0.115
1568490719504,2019-09-14T15:51:59.504,3.280,-0.467,1.232,-0.113
1568490719514,2019-09-14T15:51:59.514,3.290,-0.437,1.222,-0.114
1568490719524,2019-09-14T15:51:59.524,3.300,-0.400,1.217,-0.118
1568490719534,2019-09-14T15:51:59.534,3.310,-0.367,1.201,-0.125
1568490719544,2019-09-14T15:51:59.544,3.320,-0.360,1.182,-0.137
1568490719554,2019-09-14T15:51:59.554,3.330,-0.348,1.156,-0.150
1568490719564,2019-09-14T15:51:59.564,3.340,-0.324,1.146,-0.153
1568490719574,2019-09-14T15:51:59.574,3.350,-0.321,1.130,-0.155
1568490719584,2019-09-14T15:51:59.584,3.360,-0.324,1.114,-0.165
1568490719594,2019-09-14T15:51:59.594,3.370,-0.320,1.111,-0.160
1568490719604,2019-09-14T15:51:59.604,3.380,-0.321,1.114,-0.161
1568490719614,2019-09-14T15:51:59.614,3.390,-0.311,1.113,-0.162
1568490719624,2019-09-14T15:51:59.624,3.400,-0.301,1.097,-0.160
1568490719634,2019-09-14T15:51:59.634,3.410,-0.284,1.072,-0.150
1568490719644,2019-09-14T15:51:59.644,3.420,-0.263,1.046,-0.147
1568490719654,2019-09-14T15:51:59.654,3.430,-0.249,1.016,-0.146
1568490719664,2019-09-14T15:51:59.664,3.440,-0.232,0.999,-0.147
1568490719674,2019-09-14T15:51:59.674,3.450,-0.217,1.000,-0.138
1568490719684,2019-09-14T15:51:59.684,3.460,-0.196,0.994,-0.121
1568490719694,2019-09-14T15:51:59.694,3.470,-0.194,0.963,-0.104
1568490719704,2019-09-14T15:51:59.704,3.480,-0.208,0.917,-0.099
1568490719714,2019-09-14T15:51:59.714,3.490,-0.220,0.875,-0.093
1568490719724,2019-09-14T15:51:59.724,3.500,-0.214,0.854,-0.077
1568490719734,2019-09-14T15:51:59.734,3.510,-0.183,0.865,-0.062
1568490719744,2019-09-14T15:51:59.744,3.520,-0.147,0.887,-0.058
1568490719754,2019-09-14T15:51:59.754,3.530,-0.130,0.887,-0.054
1568490719764,2019-09-14T15:51:59.764,3.540,-0.123,0.873,-0.050
1568490719774,2019-09-14T15:51:59.774,3.550,-0.116,0.859,-0.037
1568490719784,2019-09-14T15:51:59.784,3.560,-0.113,0.839,-0.032
1568490719794,2019-09-14T15:51:59.794,3.570,-0.113,0.809,-0.028
1568490719804,2019-09-14T15:51:59.804,3.580,-0.113,0.778,-0.026
1568490719814,2019-09-14T15:51:59.814,3.590,-0.100,0.753,-0.026
1568490719824,2019-09-14T15:51:59.824,3.600,-0.083,0.748,-0.022
1568490719834,2019-09-14T15:51:59.834,3.610,-0.068,0.757,-0.021
1568490719844,2019-09-14T15:51:59.844,3.620,-0.048,0.773,-0.018
1568490719854,2019-09-14T15:51:59.854,3.630,-0.037,0.793,-0.012
1568490719864,2019-09-14T15:51:59.864,3.640,-0.028,0.812,-0.008
1568490719874,2019-09-14T15:51:59.874,3.650,-0.021,0.810,-0.008
