epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568490716148,2019-09-14T15:51:56.148,0.000,0.854,0.488,2.683
1568490716158,2019-09-14T15:51:56.158,0.010,1.098,1.037,3.476
1568490716168,2019-09-14T15:51:56.168,0.020,1.951,0.000,3.171
1568490716178,2019-09-14T15:51:56.178,0.030,3.537,-1.220,3.232
1568490716188,2019-09-14T15:51:56.188,0.040,4.634,-2.012,3.232
1568490716198,2019-09-14T15:51:56.198,0.050,4.878,-2.683,2.988
1568490716208,2019-09-14T15:51:56.208,0.060,5.732,-3.720,2.622
1568490716218,2019-09-14T15:51:56.218,0.070,6.890,-4.695,2.134
1568490716228,2019-09-14T15:51:56.228,0.080,7.439,-5.549,1.463
1568490716238,2019-09-14T15:51:56.238,0.090,7.622,-6.341,0.854
1568490716248,2019-09-14T15:51:56.248,0.100,8.354,-7.012,0.061
1568490716258,2019-09-14T15:51:56.258,0.110,8.780,-7.256,-0.671
1568490716268,2019-09-14T15:51:56.268,0.120,8.720,-7.134,-1.707
1568490716278,2019-09-14T15:51:56.278,0.130,9.024,-7.195,-3.354
1568490716288,2019-09-14T15:51:56.288,0.140,10.061,-7.378,-5.244
1568490716298,2019-09-14T15:51:56.298,0.150,11.341,-7.866,-7.195
1568490716308,2019-09-14T15:51:56.308,0.160,12.256,-8.415,-9.207
1568490716318,2019-09-14T15:51:56.318,0.170,14.085,-9.634,-11.159
1568490716328,2019-09-14T15:51:56.328,0.180,16.524,-11.463,-12.622
1568490716338,2019-09-14T15:51:56.338,0.190,18.963,-13.780,-13.232
1568490716348,2019-09-14T15:51:56.348,0.200,21.159,-16.524,-13.476
1568490716358,2019-09-14T15:51:56.358,0.210,21.585,-18.598,-13.232
1568490716368,2019-09-14T15:51:56.368,0.220,21.341,-20.305,-12.744
1568490716378,2019-09-14T15:51:56.378,0.230,21.585,-21.951,-12.317
1568490716388,2019-09-14T15:51:56.388,0.240,22.134,-23.476,-12.073
1568490716398,2019-09-14T15:51:56.398,0.250,22.256,-24.939,-11.890
1568490716408,2019-09-14T15:51:56.408,0.260,22.500,-26.159,-11.890
1568490716418,2019-09-14T15:51:56.418,0.270,23.110,-27.256,-12.378
1568490716428,2019-09-14T15:51:56.428,0.280,23.537,-27.500,-13.293
1568490716438,2019-09-14T15:51:56.438,0.290,23.232,-26.829,-13.902
1568490716448,2019-09-14T15:51:56.448,0.300,22.500,-25.549,-14.329
1568490716458,2019-09-14T15:51:56.458,0.310,22.317,-24.085,-14.512
1568490716468,2019-09-14T15:51:56.468,0.320,22.500,-22.439,-14.634
1568490716478,2019-09-14T15:51:56.478,0.330,22.073,-20.305,-14.512
1568490716488,2019-09-14T15:51:56.488,0.340,21.098,-17.683,-14.390
1568490716498,2019-09-14T15:51:56.498,0.350,20.183,-15.000,-14.329
1568490716508,2019-09-14T15:51:56.508,0.360,19.329,-12.500,-13.841
1568490716518,2019-09-14T15:51:56.518,0.370,18.415,-10.244,-12.622
1568490716528,2019-09-14T15:51:56.528,0.380,17.378,-8.049,-11.341
1568490716538,2019-09-14T15:51:56.538,0.390,15.915,-5.915,-10.305
1568490716548,2019-09-14T15:51:56.548,0.400,13.841,-3.659,-9.573
1568490716558,2019-09-14T15:51:56.558,0.410,12.134,-1.890,-9.146
1568490716568,2019-09-14T15:51:56.568,0.420,10.976,-0.305,-8.841
1568490716578,2019-09-14T15:51:56.578,0.430,10.427,0.976,-8.720
1568490716588,2019-09-14T15:51:56.588,0.440,10.122,1.951,-8.659
1568490716598,2019-09-14T15:51:56.598,0.450,9.451,2.866,-8.171
1568490716608,2019-09-14T15:51:56.608,0.460,9.024,3.293,-7.317
1568490716618,2019-09-14T15:51:56.618,0.470,8.415,3.598,-6.341
1568490716628,2019-09-14T15:51:56.628,0.480,7.317,4.085,-4.573
1568490716638,2019-09-14T15:51:56.638,0.490,5.732,4.268,-3.537
1568490716648,2019-09-14T15:51:56.648,0.500,4.878,3.841,-4.024
1568490716658,2019-09-14T15:51:56.658,0.510,4.024,3.415,-3.841
1568490716668,2019-09-14T15:51:56.668,0.520,2.622,3.110,-3.110
1568490716678,2019-09-14T15:51:56.678,0.530,1.768,2.378,-2.622
1568490716688,2019-09-14T15:51:56.688,0.540,1.463,1.463,-2.378
1568490716698,2019-09-14T15:51:56.698,0.550,0.549,0.610,-2.012
1568490716708,2019-09-14T15:51:56.708,0.560,-0.427,-0.305,-1.280
1568490716718,2019-09-14T15:51:56.718,0.570,-0.427,-1.524,-0.915
1568490716728,2019-09-14T15:51:56.728,0.580,-0.671,-2.622,-0.793
1568490716738,2019-09-14T15:51:56.738,0.590,-1.463,-3.476,-0.610
1568490716748,2019-09-14T15:51:56.748,0.600,-1.768,-4.634,-0.366
1568490716758,2019-09-14T15:51:56.758,0.610,-1.585,-5.793,0.305
1568490716768,2019-09-14T15:51:56.768,0.620,-1.524,-6.524,1.159
1568490716778,2019-09-14T15:51:56.778,0.630,-1.646,-7.134,2.134
1568490716788,2019-09-14T15:51:56.788,0.640,-1.463,-7.805,2.927
1568490716798,2019-09-14T15:51:56.798,0.650,-0.549,-8.841,3.354
1568490716808,2019-09-14T15:51:56.808,0.660,0.610,-10.122,3.171
1568490716818,2019-09-14T15:51:56.818,0.670,2.256,-11.585,2.073
1568490716828,2019-09-14T15:51:56.828,0.680,3.841,-12.866,0.610
1568490716838,2019-09-14T15:51:56.838,0.690,4.573,-13.659,-0.671
1568490716848,2019-09-14T15:51:56.848,0.700,4.207,-13.841,-2.134
1568490716858,2019-09-14T15:51:56.858,0.710,3.598,-13.415,-3.598
1568490716868,2019-09-14T15:51:56.868,0.720,2.744,-12.683,-5.122
1568490716878,2019-09-14T15:51:56.878,0.730,1.341,-11.402,-6.341
1568490716888,2019-09-14T15:51:56.888,0.740,0.000,-10.061,-7.256
1568490716898,2019-09-14T15:51:56.898,0.750,-1.341,-8.598,-7.866
1568490716908,2019-09-14T15:51:56.908,0.760,-2.683,-7.378,-7.866
1568490716918,2019-09-14T15:51:56.918,0.770,-3.598,-6.280,-7.378
1568490716928,2019-09-14T15:51:56.928,0.780,-4.085,-5.366,-6.220
1568490716938,2019-09-14T15:51:56.938,0.790,-4.573,-4.512,-4.634
1568490716948,2019-09-14T15:51:56.948,0.800,-4.939,-3.476,-2.927
1568490716958,2019-09-14T15:51:56.958,0.810,-5.183,-2.439,-1.280
1568490716968,2019-09-14T15:51:56.968,0.820,-5.427,-1.585,0.427
1568490716978,2019-09-14T15:51:56.978,0.830,-6.220,-0.427,2.012
1568490716988,2019-09-14T15:51:56.988,0.840,-7.073,0.610,3.537
1568490716998,2019-09-14T15:51:56.998,0.850,-7.500,1.220,5.000
1568490717008,2019-09-14T15:51:57.008,0.860,-7.805,1.768,6.463
1568490717018,2019-09-14T15:51:57.018,0.870,-8.110,1.890,7.805
1568490717028,2019-09-14T15:51:57.028,0.880,-7.744,1.402,8.902
1568490717038,2019-09-14T15:51:57.038,0.890,-6.707,0.549,9.634
1568490717048,2019-09-14T15:51:57.048,0.900,-5.793,-0.305,10.122
1568490717058,2019-09-14T15:51:57.058,0.910,-5.244,-0.976,10.610
1568490717068,2019-09-14T15:51:57.068,0.920,-4.634,-1.646,10.671
1568490717078,2019-09-14T15:51:57.078,0.930,-3.902,-2.439,10.793
1568490717088,2019-09-14T15:51:57.088,0.940,-3.354,-3.110,10.671
1568490717098,2019-09-14T15:51:57.098,0.950,-3.049,-3.476,10.610
1568490717108,2019-09-14T15:51:57.108,0.960,-3.110,-3.841,10.366
1568490717118,2019-09-14T15:51:57.118,0.970,-3.293,-3.720,10.061
1568490717128,2019-09-14T15:51:57.128,0.980,-3.659,-3.354,9.878
1568490717138,2019-09-14T15:51:57.138,0.990,-4.146,-3.171,9.634
1568490717148,2019-09-14T15:51:57.148,1.000,-4.512,-3.171,9.085
1568490717158,2019-09-14T15:51:57.158,1.010,-4.695,-3.232,8.415
1568490717168,2019-09-14T15:51:57.168,1.020,-4.756,-3.780,7.500
1568490717178,2019-09-14T15:51:57.178,1.030,-4.146,-4.695,6.585
1568490717188,2019-09-14T15:51:57.188,1.040,-3.598,-5.732,5.610
1568490717198,2019-09-14T15:51:57.198,1.050,-3.293,-6.890,4.756
1568490717208,2019-09-14T15:51:57.208,1.060,-2.805,-8.232,4.024
1568490717218,2019-09-14T15:51:57.218,1.070,-2.561,-9.817,3.902
1568490717228,2019-09-14T15:51:57.228,1.080,-2.378,-12.073,4.085
1568490717238,2019-09-14T15:51:57.238,1.090,-2.195,-15.366,4.695
1568490717248,2019-09-14T15:51:57.248,1.100,-2.012,-20.122,5.915
1568490717258,2019-09-14T15:51:57.258,1.110,-1.524,-26.768,7.317
1568490717268,2019-09-14T15:51:57.268,1.120,-1.159,-34.085,8.171
1568490717278,2019-09-14T15:51:57.278,1.130,-2.256,-41.341,9.146
1568490717288,2019-09-14T15:51:57.288,1.140,-4.451,-48.354,10.610
1568490717298,2019-09-14T15:51:57.298,1.150,-7.195,-54.817,12.134
1568490717308,2019-09-14T15:51:57.308,1.160,-9.756,-61.159,13.659
1568490717318,2019-09-14T15:51:57.318,1.170,-12.134,-67.439,15.671
1568490717328,2019-09-14T15:51:57.328,1.180,-14.085,-73.537,17.256
1568490717338,2019-09-14T15:51:57.338,1.190,-15.244,-79.390,18.780
1568490717348,2019-09-14T15:51:57.348,1.200,-16.463,-84.756,20.549
1568490717358,2019-09-14T15:51:57.358,1.210,-18.110,-89.329,22.439
1568490717368,2019-09-14T15:51:57.368,1.220,-19.634,-92.866,23.963
1568490717378,2019-09-14T15:51:57.378,1.230,-20.976,-95.549,25.183
1568490717388,2019-09-14T15:51:57.388,1.240,-22.012,-97.439,26.159
1568490717398,2019-09-14T15:51:57.398,1.250,-22.866,-98.415,26.707
1568490717408,2019-09-14T15:51:57.408,1.260,-23.720,-98.415,27.317
1568490717418,2019-09-14T15:51:57.418,1.270,-24.390,-97.683,27.744
1568490717428,2019-09-14T15:51:57.428,1.280,-24.634,-96.280,28.171
1568490717438,2019-09-14T15:51:57.438,1.290,-24.268,-94.634,28.415
1568490717448,2019-09-14T15:51:57.448,1.300,-23.476,-92.683,28.354
1568490717458,2019-09-14T15:51:57.458,1.310,-22.622,-90.305,28.354
1568490717468,2019-09-14T15:51:57.468,1.320,-21.220,-87.866,28.598
1568490717478,2019-09-14T15:51:57.478,1.330,-18.841,-85.549,28.537
1568490717488,2019-09-14T15:51:57.488,1.340,-16.829,-82.683,28.537
1568490717498,2019-09-14T15:51:57.498,1.350,-15.427,-79.024,28.537
1568490717508,2019-09-14T15:51:57.508,1.360,-14.024,-74.817,28.171
1568490717518,2019-09-14T15:51:57.518,1.370,-12.439,-70.549,27.500
1568490717528,2019-09-14T15:51:57.528,1.380,-10.854,-66.159,26.463
1568490717538,2019-09-14T15:51:57.538,1.390,-9.268,-61.768,25.427
1568490717548,2019-09-14T15:51:57.548,1.400,-7.805,-57.317,24.512
1568490717558,2019-09-14T15:51:57.558,1.410,-6.585,-52.927,23.659
1568490717568,2019-09-14T15:51:57.568,1.420,-5.244,-48.720,22.805
1568490717578,2019-09-14T15:51:57.578,1.430,-3.902,-44.573,21.890
1568490717588,2019-09-14T15:51:57.588,1.440,-2.866,-40.671,21.159
1568490717598,2019-09-14T15:51:57.598,1.450,-1.402,-37.256,20.549
1568490717608,2019-09-14T15:51:57.608,1.460,0.183,-34.024,20.061
1568490717618,2019-09-14T15:51:57.618,1.470,1.463,-31.280,19.634
1568490717628,2019-09-14T15:51:57.628,1.480,2.927,-28.780,19.146
1568490717638,2019-09-14T15:51:57.638,1.490,4.329,-26.585,18.476
1568490717648,2019-09-14T15:51:57.648,1.500,5.732,-24.573,17.744
1568490717658,2019-09-14T15:51:57.658,1.510,6.829,-22.805,17.256
1568490717668,2019-09-14T15:51:57.668,1.520,7.195,-20.976,16.829
1568490717678,2019-09-14T15:51:57.678,1.530,7.134,-19.085,16.402
1568490717688,2019-09-14T15:51:57.688,1.540,6.768,-17.195,16.037
1568490717698,2019-09-14T15:51:57.698,1.550,6.280,-15.122,15.671
1568490717708,2019-09-14T15:51:57.708,1.560,5.976,-13.171,15.122
1568490717718,2019-09-14T15:51:57.718,1.570,5.549,-11.524,14.512
1568490717728,2019-09-14T15:51:57.728,1.580,5.000,-9.756,13.963
1568490717738,2019-09-14T15:51:57.738,1.590,4.573,-8.415,13.171
1568490717748,2019-09-14T15:51:57.748,1.600,4.451,-7.561,12.134
1568490717758,2019-09-14T15:51:57.758,1.610,4.390,-6.951,11.220
1568490717768,2019-09-14T15:51:57.768,1.620,4.207,-6.463,10.366
1568490717778,2019-09-14T15:51:57.778,1.630,3.841,-6.037,9.573
1568490717788,2019-09-14T15:51:57.788,1.640,3.537,-5.549,8.902
1568490717798,2019-09-14T15:51:57.798,1.650,2.866,-5.000,8.415
1568490717808,2019-09-14T15:51:57.808,1.660,2.073,-4.329,7.988
1568490717818,2019-09-14T15:51:57.818,1.670,1.037,-3.659,7.622
1568490717828,2019-09-14T15:51:57.828,1.680,0.000,-2.744,7.317
1568490717838,2019-09-14T15:51:57.838,1.690,-0.610,-2.012,6.829
1568490717848,2019-09-14T15:51:57.848,1.700,-1.037,-1.463,6.159
1568490717858,2019-09-14T15:51:57.858,1.710,-1.280,-0.854,5.732
1568490717868,2019-09-14T15:51:57.868,1.720,-1.463,-0.305,5.122
1568490717878,2019-09-14T15:51:57.878,1.730,-1.402,-0.183,4.451
1568490717888,2019-09-14T15:51:57.888,1.740,-1.280,0.061,3.780
1568490717898,2019-09-14T15:51:57.898,1.750,-1.280,0.549,3.476
1568490717908,2019-09-14T15:51:57.908,1.760,-1.524,1.159,3.476
1568490717918,2019-09-14T15:51:57.918,1.770,-1.951,1.829,3.598
1568490717928,2019-09-14T15:51:57.928,1.780,-2.622,2.500,3.902
1568490717938,2019-09-14T15:51:57.938,1.790,-3.232,3.232,4.146
1568490717948,2019-09-14T15:51:57.948,1.800,-3.354,3.598,4.268
1568490717958,2019-09-14T15:51:57.958,1.810,-3.232,3.902,4.146
1568490717968,2019-09-14T15:51:57.968,1.820,-3.293,4.268,4.207
1568490717978,2019-09-14T15:51:57.978,1.830,-3.232,4.329,3.963
1568490717988,2019-09-14T15:51:57.988,1.840,-2.805,4.329,3.659
1568490717998,2019-09-14T15:51:57.998,1.850,-2.378,4.329,3.659
1568490718008,2019-09-14T15:51:58.008,1.860,-2.134,4.268,3.537
1568490718018,2019-09-14T15:51:58.018,1.870,-1.951,4.146,3.415
1568490718028,2019-09-14T15:51:58.028,1.880,-1.707,4.024,3.293
1568490718038,2019-09-14T15:51:58.038,1.890,-1.463,4.085,2.866
1568490718048,2019-09-14T15:51:58.048,1.900,-1.280,4.268,2.439
1568490718058,2019-09-14T15:51:58.058,1.910,-1.159,4.451,2.073
1568490718068,2019-09-14T15:51:58.068,1.920,-1.098,4.695,1.707
1568490718078,2019-09-14T15:51:58.078,1.930,-0.915,5.000,1.402
1568490718088,2019-09-14T15:51:58.088,1.940,-0.732,5.305,1.220
1568490718098,2019-09-14T15:51:58.098,1.950,-0.793,5.610,1.220
1568490718108,2019-09-14T15:51:58.108,1.960,-0.671,5.732,1.341
1568490718118,2019-09-14T15:51:58.118,1.970,-0.305,5.732,1.341
1568490718128,2019-09-14T15:51:58.128,1.980,0.000,5.610,1.402
1568490718138,2019-09-14T15:51:58.138,1.990,0.305,5.366,1.402
1568490718148,2019-09-14T15:51:58.148,2.000,0.732,5.183,1.159
1568490718158,2019-09-14T15:51:58.158,2.010,0.854,5.000,0.976
1568490718168,2019-09-14T15:51:58.168,2.020,1.037,4.695,0.793
1568490718178,2019-09-14T15:51:58.178,2.030,1.220,4.573,0.488
1568490718188,2019-09-14T15:51:58.188,2.040,1.220,4.268,0.183
1568490718198,2019-09-14T15:51:58.198,2.050,1.098,3.963,0.000
1568490718208,2019-09-14T15:51:58.208,2.060,1.220,3.598,-0.061
1568490718218,2019-09-14T15:51:58.218,2.070,1.402,3.171,-0.061
1568490718228,2019-09-14T15:51:58.228,2.080,1.524,2.805,0.000
1568490718238,2019-09-14T15:51:58.238,2.090,1.707,2.195,-0.122
1568490718248,2019-09-14T15:51:58.248,2.100,1.951,1.707,-0.305
1568490718258,2019-09-14T15:51:58.258,2.110,2.073,1.159,-0.671
1568490718268,2019-09-14T15:51:58.268,2.120,2.134,0.671,-0.915
1568490718278,2019-09-14T15:51:58.278,2.130,1.951,0.488,-1.037
1568490718288,2019-09-14T15:51:58.288,2.140,1.646,0.366,-1.159
1568490718298,2019-09-14T15:51:58.298,2.150,1.463,0.122,-1.280
1568490718308,2019-09-14T15:51:58.308,2.160,1.402,0.061,-1.220
1568490718318,2019-09-14T15:51:58.318,2.170,1.159,0.061,-1.037
1568490718328,2019-09-14T15:51:58.328,2.180,1.159,0.000,-0.976
1568490718338,2019-09-14T15:51:58.338,2.190,1.341,-0.183,-0.976
1568490718348,2019-09-14T15:51:58.348,2.200,1.402,-0.183,-0.915
1568490718358,2019-09-14T15:51:58.358,2.210,1.402,-0.122,-0.854
1568490718368,2019-09-14T15:51:58.368,2.220,1.341,-0.183,-0.976
1568490718378,2019-09-14T15:51:58.378,2.230,1.341,-0.183,-1.098
1568490718388,2019-09-14T15:51:58.388,2.240,1.098,0.000,-0.976
1568490718398,2019-09-14T15:51:58.398,2.250,1.037,0.122,-0.732
1568490718408,2019-09-14T15:51:58.408,2.260,1.037,0.122,-0.305
1568490718418,2019-09-14T15:51:58.418,2.270,1.098,0.183,-0.061
1568490718428,2019-09-14T15:51:58.428,2.280,1.159,0.244,0.305
1568490718438,2019-09-14T15:51:58.438,2.290,0.610,0.671,0.915
1568490718448,2019-09-14T15:51:58.448,2.300,-0.061,0.976,1.159
1568490718458,2019-09-14T15:51:58.458,2.310,0.000,1.280,1.220
1568490718468,2019-09-14T15:51:58.468,2.320,-0.183,1.524,1.280
1568490718478,2019-09-14T15:51:58.478,2.330,-0.671,1.890,1.341
1568490718488,2019-09-14T15:51:58.488,2.340,-1.037,2.134,1.402
1568490718498,2019-09-14T15:51:58.498,2.350,-1.402,2.317,1.159
1568490718508,2019-09-14T15:51:58.508,2.360,-1.524,2.439,0.610
1568490718518,2019-09-14T15:51:58.518,2.370,-1.890,2.439,0.549
1568490718528,2019-09-14T15:51:58.528,2.380,-2.378,2.378,0.671
1568490718538,2019-09-14T15:51:58.538,2.390,-2.073,2.012,0.488
1568490718548,2019-09-14T15:51:58.548,2.400,-1.220,1.402,0.305
1568490718558,2019-09-14T15:51:58.558,2.410,-1.098,0.976,0.244
1568490718568,2019-09-14T15:51:58.568,2.420,-0.976,0.488,0.244
1568490718578,2019-09-14T15:51:58.578,2.430,-0.976,0.000,0.000
1568490718588,2019-09-14T15:51:58.588,2.440,-1.159,-0.366,-0.244
1568490718598,2019-09-14T15:51:58.598,2.450,-1.707,-0.488,-0.549
1568490718608,2019-09-14T15:51:58.608,2.460,-2.317,-0.671,-0.793
1568490718618,2019-09-14T15:51:58.618,2.470,-2.744,-0.854,-0.854
1568490718628,2019-09-14T15:51:58.628,2.480,-2.622,-1.524,-1.037
1568490718638,2019-09-14T15:51:58.638,2.490,-2.073,-2.500,-1.280
1568490718648,2019-09-14T15:51:58.648,2.500,-1.585,-3.659,-1.890
1568490718658,2019-09-14T15:51:58.658,2.510,-0.976,-4.817,-2.317
1568490718668,2019-09-14T15:51:58.668,2.520,-0.244,-5.793,-2.256
1568490718678,2019-09-14T15:51:58.678,2.530,-0.122,-6.280,-1.768
1568490718688,2019-09-14T15:51:58.688,2.540,-0.427,-6.098,-0.671
1568490718698,2019-09-14T15:51:58.698,2.550,-1.646,-5.061,1.585
1568490718708,2019-09-14T15:51:58.708,2.560,-3.232,-3.720,4.390
1568490718718,2019-09-14T15:51:58.718,2.570,-4.207,-2.439,6.402
1568490718728,2019-09-14T15:51:58.728,2.580,-4.695,-1.159,7.744
1568490718738,2019-09-14T15:51:58.738,2.590,-5.427,0.427,8.171
1568490718748,2019-09-14T15:51:58.748,2.600,-7.195,2.317,7.622
1568490718758,2019-09-14T15:51:58.758,2.610,-8.659,4.146,6.341
1568490718768,2019-09-14T15:51:58.768,2.620,-8.841,5.427,4.207
1568490718778,2019-09-14T15:51:58.778,2.630,-8.963,6.341,1.524
1568490718788,2019-09-14T15:51:58.788,2.640,-8.598,6.829,-1.402
1568490718798,2019-09-14T15:51:58.798,2.650,-6.524,6.463,-4.756
1568490718808,2019-09-14T15:51:58.808,2.660,-4.634,6.220,-7.988
1568490718818,2019-09-14T15:51:58.818,2.670,-4.085,6.098,-10.915
1568490718828,2019-09-14T15:51:58.828,2.680,-2.195,5.488,-14.573
1568490718838,2019-09-14T15:51:58.838,2.690,0.183,4.695,-18.293
1568490718848,2019-09-14T15:51:58.848,2.700,0.915,4.512,-21.707
1568490718858,2019-09-14T15:51:58.858,2.710,1.585,4.146,-25.549
1568490718868,2019-09-14T15:51:58.868,2.720,2.805,3.780,-30.061
1568490718878,2019-09-14T15:51:58.878,2.730,3.720,3.415,-34.817
1568490718888,2019-09-14T15:51:58.888,2.740,4.939,2.805,-39.573
1568490718898,2019-09-14T15:51:58.898,2.750,7.073,1.707,-44.939
1568490718908,2019-09-14T15:51:58.908,2.760,8.537,0.793,-50.183
1568490718918,2019-09-14T15:51:58.918,2.770,9.512,-0.244,-54.451
1568490718928,2019-09-14T15:51:58.928,2.780,10.976,-1.524,-58.110
1568490718938,2019-09-14T15:51:58.938,2.790,11.951,-2.622,-61.524
1568490718948,2019-09-14T15:51:58.948,2.800,12.317,-3.537,-64.878
1568490718958,2019-09-14T15:51:58.958,2.810,12.561,-4.390,-68.110
1568490718968,2019-09-14T15:51:58.968,2.820,13.110,-5.366,-70.732
1568490718978,2019-09-14T15:51:58.978,2.830,13.476,-6.098,-72.805
1568490718988,2019-09-14T15:51:58.988,2.840,13.171,-6.707,-74.573
1568490718998,2019-09-14T15:51:58.998,2.850,13.049,-7.439,-76.341
1568490719008,2019-09-14T15:51:59.008,2.860,12.988,-8.171,-77.012
1568490719018,2019-09-14T15:51:59.018,2.870,11.585,-8.476,-76.159
1568490719028,2019-09-14T15:51:59.028,2.880,10.061,-8.780,-75.305
1568490719038,2019-09-14T15:51:59.038,2.890,9.268,-9.268,-75.549
1568490719048,2019-09-14T15:51:59.048,2.900,8.232,-9.390,-76.159
1568490719058,2019-09-14T15:51:59.058,2.910,6.646,-8.963,-76.220
1568490719068,2019-09-14T15:51:59.068,2.920,4.329,-7.988,-75.122
1568490719078,2019-09-14T15:51:59.078,2.930,2.195,-6.951,-73.659
1568490719088,2019-09-14T15:51:59.088,2.940,0.244,-6.098,-72.500
1568490719098,2019-09-14T15:51:59.098,2.950,-1.098,-5.427,-71.402
1568490719108,2019-09-14T15:51:59.108,2.960,-1.707,-4.878,-71.159
1568490719118,2019-09-14T15:51:59.118,2.970,-2.134,-4.207,-71.098
1568490719128,2019-09-14T15:51:59.128,2.980,-2.805,-3.537,-70.000
1568490719138,2019-09-14T15:51:59.138,2.990,-4.390,-2.805,-67.622
1568490719148,2019-09-14T15:51:59.148,3.000,-5.610,-2.866,-64.695
1568490719158,2019-09-14T15:51:59.158,3.010,-5.549,-3.963,-61.951
1568490719168,2019-09-14T15:51:59.168,3.020,-4.329,-5.427,-60.183
1568490719178,2019-09-14T15:51:59.178,3.030,-2.683,-6.280,-59.695
1568490719188,2019-09-14T15:51:59.188,3.040,-1.585,-6.220,-59.939
1568490719198,2019-09-14T15:51:59.198,3.050,-2.012,-5.244,-59.329
1568490719208,2019-09-14T15:51:59.208,3.060,-2.378,-4.695,-57.927
1568490719218,2019-09-14T15:51:59.218,3.070,-0.122,-5.610,-56.402
1568490719228,2019-09-14T15:51:59.228,3.080,2.012,-6.402,-54.085
1568490719238,2019-09-14T15:51:59.238,3.090,0.732,-5.976,-51.159
1568490719248,2019-09-14T15:51:59.248,3.100,0.549,-5.976,-50.305
1568490719258,2019-09-14T15:51:59.258,3.110,3.659,-6.829,-51.098
1568490719268,2019-09-14T15:51:59.268,3.120,4.329,-6.646,-49.634
1568490719278,2019-09-14T15:51:59.278,3.130,2.927,-5.976,-45.915
1568490719288,2019-09-14T15:51:59.288,3.140,5.061,-6.585,-41.707
1568490719298,2019-09-14T15:51:59.298,3.150,7.073,-6.951,-36.280
1568490719308,2019-09-14T15:51:59.308,3.160,6.341,-6.646,-30.244
1568490719318,2019-09-14T15:51:59.318,3.170,6.159,-6.707,-25.183
1568490719328,2019-09-14T15:51:59.328,3.180,6.646,-7.073,-21.402
1568490719338,2019-09-14T15:51:59.338,3.190,7.073,-8.110,-18.354
1568490719348,2019-09-14T15:51:59.348,3.200,7.927,-9.695,-17.256
1568490719358,2019-09-14T15:51:59.358,3.210,8.110,-10.671,-18.110
1568490719368,2019-09-14T15:51:59.368,3.220,6.463,-11.037,-18.537
1568490719378,2019-09-14T15:51:59.378,3.230,5.854,-11.707,-17.744
1568490719388,2019-09-14T15:51:59.388,3.240,6.768,-12.622,-16.341
1568490719398,2019-09-14T15:51:59.398,3.250,7.683,-13.354,-14.756
1568490719408,2019-09-14T15:51:59.408,3.260,8.293,-13.537,-12.622
1568490719418,2019-09-14T15:51:59.418,3.270,8.110,-13.110,-9.573
1568490719428,2019-09-14T15:51:59.428,3.280,6.220,-12.073,-5.244
1568490719438,2019-09-14T15:51:59.438,3.290,3.780,-10.976,-0.671
1568490719448,2019-09-14T15:51:59.448,3.300,2.439,-10.244,3.963
1568490719458,2019-09-14T15:51:59.458,3.310,1.037,-9.268,8.354
1568490719468,2019-09-14T15:51:59.468,3.320,-0.976,-7.866,12.927
1568490719478,2019-09-14T15:51:59.478,3.330,-2.866,-6.463,18.110
1568490719488,2019-09-14T15:51:59.488,3.340,-3.293,-6.280,23.171
1568490719498,2019-09-14T15:51:59.498,3.350,-2.317,-7.256,27.561
1568490719508,2019-09-14T15:51:59.508,3.360,-0.915,-8.720,30.915
1568490719518,2019-09-14T15:51:59.518,3.370,0.122,-9.817,32.927
1568490719528,2019-09-14T15:51:59.528,3.380,-0.183,-10.244,34.878
1568490719538,2019-09-14T15:51:59.538,3.390,-0.549,-10.183,36.707
1568490719548,2019-09-14T15:51:59.548,3.400,0.000,-10.061,38.293
1568490719558,2019-09-14T15:51:59.558,3.410,0.854,-9.817,39.512
1568490719568,2019-09-14T15:51:59.568,3.420,1.646,-9.573,40.793
1568490719578,2019-09-14T15:51:59.578,3.430,2.378,-9.146,42.683
1568490719588,2019-09-14T15:51:59.588,3.440,2.500,-9.024,44.573
1568490719598,2019-09-14T15:51:59.598,3.450,3.171,-9.634,46.098
1568490719608,2019-09-14T15:51:59.608,3.460,2.744,-10.183,47.683
1568490719618,2019-09-14T15:51:59.618,3.470,1.098,-10.732,49.024
1568490719628,2019-09-14T15:51:59.628,3.480,-0.183,-11.524,50.305
1568490719638,2019-09-14T15:51:59.638,3.490,-1.829,-12.073,51.220
1568490719648,2019-09-14T15:51:59.648,3.500,-3.720,-11.951,51.890
1568490719658,2019-09-14T15:51:59.658,3.510,-5.793,-11.280,53.171
1568490719668,2019-09-14T15:51:59.668,3.520,-7.500,-10.000,54.329
1568490719678,2019-09-14T15:51:59.678,3.530,-9.024,-8.049,55.915
1568490719688,2019-09-14T15:51:59.688,3.540,-11.585,-5.244,58.049
1568490719698,2019-09-14T15:51:59.698,3.550,-14.634,-1.890,60.366
1568490719708,2019-09-14T15:51:59.708,3.560,-15.854,0.732,62.378
1568490719718,2019-09-14T15:51:59.718,3.570,-15.061,2.195,64.390
1568490719728,2019-09-14T15:51:59.728,3.580,-13.293,2.988,65.976
1568490719738,2019-09-14T15:51:59.738,3.590,-11.768,3.720,66.707
